nome_do_orgao,med_dilma,med_dilma_e_temer,med_bolsonaro
GSI-PR – Gabinete de Segurança Institucional da Presidência da República,19.38246562993013,31.594128690902878,33.25975776826657
BB – Banco do Brasil S.A.,37.88233100497471,12.989524533166835,20.267085560965615
BNB – Banco do Nordeste do Brasil S.A.,10.920520916832336,12.987082160615767,20.215985840788033
"ANP – Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",14.371563720471691,16.784108149445558,16.737063293443274
DPF – Departamento de Polícia Federal,18.15332217305986,22.42914852847833,15.35285496228608
FIOCRUZ – Fundação Oswaldo Cruz,3.6645392429516104,4.753709546069543,15.300844639032263
MME – Ministério de Minas e Energia,7.924203273040477,12.308556376804681,14.861243180668646
ANTAQ – Agência Nacional de Transportes Aquaviários,6.409854733859439,11.28000199783266,13.623715537331035
COMAER – Comando da Aeronáutica,7.686072504013295,7.598151463385511,13.102459900986629
ECT – Empresa Brasileira de Correios e Telégrafos,4.169854133432352,6.751738420516886,12.982386324986853
CVM – Comissão de Valores Mobiliários,8.090740352046879,16.768206974392537,12.91272396188989
SERPRO – Serviço Federal de Processamento de Dados,3.7229008320692065,4.15204678362573,11.707775905698407
BASA – Banco da Amazônia S.A.,4.051904666932587,12.491173897380474,11.621987810436336
EPE – Empresa de Pesquisa Energética,,6.840830113555092,11.25494835006713
ANCINE – Agência Nacional do Cinema,5.117203783870449,2.151270629531493,10.89913936282651
ME - Ministério da Economia,6.760064396084826,4.78972180277503,10.314287240131502
CMAR – Comando da Marinha,9.915309260111925,4.3801614807362865,9.73386726734242
Autoridade Portuária de Santos S.A.,,0.76967113135234,8.93148707929111
ANEEL – Agência Nacional de Energia Elétrica,1.4848568227228567,5.476255402396999,8.900217020837275
CGU – Controladoria-Geral da União,6.17884765671922,7.068018640652203,8.63311848816638
