nome_do_orgao,med_dilma,med_dilma_e_temer,med_bolsonaro
GSI-PR – Gabinete de Segurança Institucional da Presidência da República,19.38246562993013,31.594128690902878,33.25975776826657
BNB – Banco do Nordeste do Brasil S.A.,10.920520916832336,12.987082160615767,20.215985840788033
FIOCRUZ – Fundação Oswaldo Cruz,3.6645392429516104,4.753709546069543,15.300844639032263
MME – Ministério de Minas e Energia,7.924203273040477,12.308556376804681,14.861243180668646
ANTAQ – Agência Nacional de Transportes Aquaviários,6.409854733859439,11.28000199783266,13.623715537331035
COMAER – Comando da Aeronáutica,7.686072504013295,7.598151463385511,13.102459900986629
ECT – Empresa Brasileira de Correios e Telégrafos,4.169854133432352,6.751738420516886,12.982386324986853
SERPRO – Serviço Federal de Processamento de Dados,3.7229008320692065,4.15204678362573,11.707775905698407
ANCINE – Agência Nacional do Cinema,5.117203783870449,2.151270629531493,10.89913936282651
ME - Ministério da Economia,6.760064396084826,4.78972180277503,10.314287240131502
