ano,total_deferidos_ou_parcial,total_recebidos,pct_deferidos_ou_parcial,pct_não_deferidos
2013.0,63015,83511,0.754571254086288,0.245428745913712
2014.0,65667,89943,0.7300957272939529,0.2699042727060471
2015.0,77679,101805,0.7630175335199646,0.2369824664800354
2016.0,81755,110375,0.7407021517553793,0.25929784824462065
2017.0,90530,121886,0.7427432190735606,0.25725678092643944
2018.0,93367,127687,0.7312177433881288,0.26878225661187116
2019.0,97764,129331,0.7559208542422157,0.24407914575778433
2020.0,97693,153875,0.6348854589764419,0.3651145410235581
2021.0,89433,120101,0.7446482543858919,0.2553517456141081
